Price,Brand,Model,Power,Efficiency,Link
424.24,be quiet!,BN501,1600,80+ Platinum,https://amazon.com/dp/B0C6FY4JXF?tag=pcbuilder00-20
100.57,be quiet!,BN273,500,80+ Silver,https://amazon.com/dp/B01MS8EX0W?tag=pcbuilder00-20
150,be quiet!,T380666,600,80+ Silver,https://amazon.com/dp/B01MUBP071?tag=pcbuilder00-20
209.9,be quiet!,BN659,750,80+ Titanium,https://amazon.com/dp/B0BV6FSFL9?tag=pcbuilder00-20
239.9,be quiet!,BN657,850,80+ Titanium,https://amazon.com/dp/B08XWYMM2K?tag=pcbuilder00-20
249.9,be quiet!,BN660,850,80+ Titanium,https://amazon.com/dp/B0BV6CX5PL?tag=pcbuilder00-20
279.9,be quiet!,Dark Power 12,1000,80+ Titanium,https://amazon.com/dp/B08XXXVCS2?tag=pcbuilder00-20
437.49,be quiet!,Dark Power Pro 12,1200,80+ Titanium,https://amazon.com/dp/B08HGQKBQZ?tag=pcbuilder00-20
119.78,Cooler,MWE Bronze V2,750,80+ Bronze,https://amazon.com/dp/B07RZM3P3S?tag=pcbuilder00-20
45.46,Cooler Master,MPW-5001-ACAAN1-US,500,80,https://amazon.com/dp/B07CZ1LY3K?tag=pcbuilder00-20
50.3,Cooler Master,Elite V3,400,80+,https://amazon.com/dp/B07B6Q4B3M?tag=pcbuilder00-20
99.95,Cooler Master,RS500-PCARD3-US,500,80+,https://amazon.com/dp/B001G0WPLK?tag=pcbuilder00-20
78.48,Cooler Master,MPE-7001-ACABW-EU,700,80+,https://amazon.com/dp/B07WZQ5BS8?tag=pcbuilder00-20
63.45,Cooler Master,MPX-5001-ACAAB-US,500,80+ Bronze,https://amazon.com/dp/B074ZDLGM3?tag=pcbuilder00-20
61,Cooler Master,MasterWatt,550,80+ Bronze,https://amazon.com/dp/B074ZDLGMK?tag=pcbuilder00-20
89.99,Cooler Master,MWE 550,550,80+ Bronze,https://amazon.com/dp/B074ZQXBHX?tag=pcbuilder00-20
124,Cooler Master,MWE Bronze V2,550,80+ Bronze,https://amazon.com/dp/B07S2SQCVY?tag=pcbuilder00-20
80.49,Cooler Master,MWE 600,600,80+ Bronze,https://amazon.com/dp/B074ZR8D6P?tag=pcbuilder00-20
69.99,Cooler Master,MPX-6501-AMAAB-US,650,80+ Bronze,https://amazon.com/dp/B074ZKXM72?tag=pcbuilder00-20
89.49,Cooler Master,MPE-7001-ACAAB-EU,700,80+ Bronze,https://amazon.com/dp/B0812BM3YY?tag=pcbuilder00-20
79.99,Cooler Master,MasterWatt,750,80+ Bronze,https://amazon.com/dp/B074ZLQZH6?tag=pcbuilder00-20
89.99,Cooler Master,MPW-5001-ACAAG-US,500,80+ Gold,https://amazon.com/dp/B09JQ8QNLN?tag=pcbuilder00-20
83.77,Cooler Master,V550 V2,550,80+ Gold,https://amazon.com/dp/B08G38N88V?tag=pcbuilder00-20
119.99,Cooler Master,MPY-5501-SFHAGV-US,550,80+ Gold,https://amazon.com/dp/B08LP6LPQN?tag=pcbuilder00-20
