Price,Brand,Model,Cabinet Type,Link
69.37,COUGAR,MX340,ATX Mid Tower,https://amazon.com/dp/B07F1FYLHC?tag=pcbuilder00-20
69.9,BITFENIX,BFC-NSE-300-WWGKP-4A,ATX Mid Tower,https://amazon.com/dp/B08LVHFL16?tag=pcbuilder00-20
69.9,BITFENIX,BFC-NSE-300-WWGKW-4A,ATX Mid Tower,https://amazon.com/dp/B08LVGX1NB?tag=pcbuilder00-20
69.9,BITFENIX,SBR 300,ATX Mid Tower,https://amazon.com/dp/B07GCC9ZFQ?tag=pcbuilder00-20
69.98,GAMEMAX,PANDA PRO BK/RD,ATX Mid Tower,https://amazon.com/dp/B098VZDTM8?tag=pcbuilder00-20
69.99,NZXT,H510B-W1,ATX Mid Tower,https://amazon.com/dp/B07TC76671?tag=pcbuilder00-20
69.99,Zalman,S5 Black,ATX Mid Tower,https://amazon.com/dp/B084ZYY4GZ?tag=pcbuilder00-20
69.99,Apevia,ENZO-PK,ATX Mid Tower,https://amazon.com/dp/B08GVXNG4R?tag=pcbuilder00-20
69.99,Antec,AX90,ATX Mid Tower,https://amazon.com/dp/B0BQLJ7QYY?tag=pcbuilder00-20
69.99,Montech,AIR 903 MAX (B),ATX Mid Tower,https://amazon.com/dp/B0C98RRPXL?tag=pcbuilder00-20
69.99,Montech,AIR 903 MAX (W),ATX Mid Tower,https://amazon.com/dp/B0C98SZCSG?tag=pcbuilder00-20
71.22,Sharkoon,SHA-VS9 RGB BK,ATX Mid Tower,https://amazon.com/dp/B0CDQ257L5?tag=pcbuilder00-20
71.27,DEEP COOL,MATREXX 55 V3,ATX Mid Tower,https://amazon.com/dp/B07VLJZNJY?tag=pcbuilder00-20
71.46,Zalman,S4,ATX Mid Tower,https://amazon.com/dp/B084RKY473?tag=pcbuilder00-20
71.99,Montech,X3 MESH,ATX Mid Tower,https://amazon.com/dp/B09246FCTZ?tag=pcbuilder00-20
72.33,Fractal Design,FD-C-FOC2A-07,ATX Mid Tower,https://amazon.com/dp/B095YBWDXT?tag=pcbuilder00-20
72.44,Montech,SKY ONE LITE BLACK,ATX Mid Tower,https://amazon.com/dp/B0B1V23B2Z?tag=pcbuilder00-20
72.99,Zalman,K1,ATX Mid Tower,https://amazon.com/dp/B07P23N79R?tag=pcbuilder00-20
74.8,Montech,SKY ONE LITE WHITE,ATX Mid Tower,https://amazon.com/dp/B0B2CRL254?tag=pcbuilder00-20
74.99,Thermaltake,Commander C34,ATX Mid Tower,https://amazon.com/dp/B07NPPBS6S?tag=pcbuilder00-20
74.99,DIYPC,ARGB-Q10-BK,ATX Mid Tower,https://amazon.com/dp/B0CHQWJG5G?tag=pcbuilder00-20
75.99,darkFlash,DLC29 White,ATX Mid Tower,https://amazon.com/dp/B09QGFF65C?tag=pcbuilder00-20
76.99,Apevia,CRUSADER-F-WH,ATX Mid Tower,https://amazon.com/dp/B07TYQBYMV?tag=pcbuilder00-20
76.99,Apevia,CRSADER-F-BK,ATX Mid Tower,https://amazon.com/dp/B07TVKQK7L?tag=pcbuilder00-20
77.03,ADATA,INVADER-WHCWW,ATX Mid Tower,https://amazon.com/dp/B07YMTCJJG?tag=pcbuilder00-20
77.99,APEVIA,CRSADER,ATX Mid Tower,https://amazon.com/dp/B07TWNNSW6?tag=pcbuilder00-20
78.71,SilverStone Technology,FARA R1,ATX Mid Tower,https://amazon.com/dp/B084BRX7P4?tag=pcbuilder00-20
78.99,DIYPC,Silence-BK,ATX Mid Tower,https://amazon.com/dp/B06XKPSZ5D?tag=pcbuilder00-20
79,Raijintek,0R200054,ATX Mid Tower,https://amazon.com/dp/B0725YBGTC?tag=pcbuilder00-20
79.9,BITFENIX,BFC-TRA-500-WWG-3W1A,ATX Mid Tower,https://amazon.com/dp/B0BPH8VJDT?tag=pcbuilder00-20
79.9,BITFENIX,BFC-TRA-500-KKG-3B1A,ATX Mid Tower,https://amazon.com/dp/B0BPHFTSFF?tag=pcbuilder00-20
79.99,Thermaltake,V200,ATX Mid Tower,https://amazon.com/dp/B07FL1D5RV?tag=pcbuilder00-20
79.99,Phanteks,Eclipse P300A,ATX Mid Tower,https://amazon.com/dp/B083LYL7V5?tag=pcbuilder00-20
79.99,Thermaltake,CA-1X2-00M1WN-00,ATX Mid Tower,https://amazon.com/dp/B0BHDH4899?tag=pcbuilder00-20
79.99,Thermaltake,CA-1X2-00M6WN-00,ATX Mid Tower,https://amazon.com/dp/B0BHDLF6PH?tag=pcbuilder00-20
79.99,Antec,0-761345-80038-9,ATX Mid Tower,https://amazon.com/dp/B08YXT4XGB?tag=pcbuilder00-20
79.99,Zalman,Z7 Neo,ATX Mid Tower,https://amazon.com/dp/B07YXXYRTQ?tag=pcbuilder00-20
79.99,Raidmax,X616-TBF,ATX Mid Tower,https://amazon.com/dp/B08WRJ693L?tag=pcbuilder00-20
79.99,Thermaltake,CA-1Q5-00M1WN-03,ATX Mid Tower,https://amazon.com/dp/B09H3GCV43?tag=pcbuilder00-20
79.99,AZZA,CSAZ-450,ATX Mid Tower,https://amazon.com/dp/B08HH2YHN2?tag=pcbuilder00-20
79.99,AZZA,CSAZ-440 ECLIPSE,ATX Mid Tower,https://amazon.com/dp/B08HH2LM28?tag=pcbuilder00-20
80,Fractal Design,Meshify Mini C,ATX Mid Tower,https://amazon.com/dp/B074PGBGHW?tag=pcbuilder00-20
80.07,be quiet!,Pure Base 600,ATX Mid Tower,https://amazon.com/dp/B01N9ONQSK?tag=pcbuilder00-20
80.18,DeepCool,CC560 BLACK,ATX Mid Tower,https://amazon.com/dp/B09PMJX88Y?tag=pcbuilder00-20
80.69,Fractal Design,FD-C-FOC2A-02,ATX Mid Tower,https://amazon.com/dp/B08Z4FHRN1?tag=pcbuilder00-20
80.94,Montech,X3 MESH,ATX Mid Tower,https://amazon.com/dp/B092441BHJ?tag=pcbuilder00-20
80.94,DeepCool,CK560 WH,ATX Mid Tower,https://amazon.com/dp/B09MTMY5KW?tag=pcbuilder00-20
80.95,DeepCool,R-CG560-BKAAE4-G-1,ATX Mid Tower,https://amazon.com/dp/B09CTV4QNZ?tag=pcbuilder00-20
80.99,Thermaltake,Level 20 MT,ATX Mid Tower,https://amazon.com/dp/B07LCMR3JC?tag=pcbuilder00-20
80.99,Apevia,GENESIS-PK,ATX Mid Tower,https://amazon.com/dp/B08DL9S57M?tag=pcbuilder00-20
81.17,Antec,AX20 RGB TG,ATX Mid Tower,https://amazon.com/dp/B0BPQZZG56?tag=pcbuilder00-20
81.88,Cooler Master,MasterBox NR600,ATX Mid Tower,https://amazon.com/dp/B07PJ18S78?tag=pcbuilder00-20
81.99,Apevia,Matrix,ATX Mid Tower,https://amazon.com/dp/B08DP8J6NG?tag=pcbuilder00-20
81.99,Apevia,Predator-BK,ATX Mid Tower,https://amazon.com/dp/B08DP6VN7M?tag=pcbuilder00-20
82.33,Fractal Design,FD-C-FOC2A-04,ATX Mid Tower,https://amazon.com/dp/B08Z4F5Q65?tag=pcbuilder00-20
82.67,Rosewill,Zircon I,ATX Mid Tower,https://amazon.com/dp/B07WWWBDW9?tag=pcbuilder00-20
82.99,Cooler Master,MB600L2-KG5N-S00,ATX Mid Tower,https://amazon.com/dp/B08XV11NRW?tag=pcbuilder00-20
82.99,Fractal Design,Meshify C,ATX Mid Tower,https://amazon.com/dp/B07BPP9KYD?tag=pcbuilder00-20
82.99,Apevia,Matrix,ATX Mid Tower,https://amazon.com/dp/B08DP8M2CD?tag=pcbuilder00-20
82.99,Fractal Design,FD-C-FOC2A-01,ATX Mid Tower,https://amazon.com/dp/B08Z4CJ93L?tag=pcbuilder00-20
83,Fractal Design,FD-C-FOC2A-03,ATX Mid Tower,https://amazon.com/dp/B08Z4DPG8B?tag=pcbuilder00-20
