Title,Price,Brand,Model,Power,Efficiency,Link
"Phanteks (PH-P1000G_WT02) AMP 1000W V2 80PLUS Gold, ATX Power Supply",169.99,Phanteks,PH-P1000G_WT02,1000 W,80+ Gold,https://amazon.com/dp/B0BWQ5V6RR?tag=pcbuilder00-20
Coolmax Power Supply ATX 500 Power Supply,/A,Coolmax,ZU-500B,500 W,80+ Bronze,https://amazon.com/dp/B0075WFEMU?tag=pcbuilder00-20
"Corsair HX1500i Fully Modular Ultra-Low Noise ATX Digital Power Supply Three EPS12V Connectors, 140mm Fluid Dynamic Bearing Fan, Zero RPM Mode",629.99,Corsair,HX1500i,1500 W,80+ Platinum,https://amazon.com/dp/B0B4KKP4ZB?tag=pcbuilder00-20
Seasonic PRIME-TX-1300 Power Supply,612,Seasonic,PRIME-TX-1300,1300 W,80+ Titanium,https://amazon.com/dp/B09RTGD4NZ?tag=pcbuilder00-20
XPG Cybercore Modular PSU: 80 Plus Platinum - ATX - Fully Modular Power Supply - 10 Year Warranty - 1300 Watt,229.99,XPG,Cybercore 80 Plus,1300 W,80+ Platinum,https://amazon.com/dp/B09XMXJ1HD?tag=pcbuilder00-20
Thermaltake Toughpower 1200W 80PLUS Silver Certified Continuous Power ATX 1200 Power Supply,/A,Thermaltake,TP-1200M,1200 W,80+ Silver,https://amazon.com/dp/B005LJVXZQ?tag=pcbuilder00-20
"Cooler Master XG850 Plus Platinum ARGB Fully Modular, 850W, 80+ Platinum, ARGB 135mm Silent Fan, Built-in Information Display Panel, Intel ATX 12V Ver 2.53, 100% Japanese Capacitors",195,Cooler Master,MPG-8501-AFBAP-XUS,850 W,80+ Platinum,https://amazon.com/dp/B09WPBD741?tag=pcbuilder00-20
"Cooler Master XG750 Plus Platinum ARGB Fully Modular, 750W, 80+ Platinum, ARGB 135mm Silent Fan, Built-in Information Display Panel, Intel ATX 12V Ver 2.53, 100% Japanese Capacitors",209.99,Cooler Master,MPG-7501-AFBAP-XUS,750 W,80+ Platinum,https://amazon.com/dp/B09WP6CC23?tag=pcbuilder00-20
Athena Power AP-MFATX40P8 Flex ATX 400W Power Supply,129.68,Athena,4328505557,400 W,80+ Bronze,https://amazon.com/dp/B0137D0TNO?tag=pcbuilder00-20
Seasonic Power Supply SS-400ET Bronze 80+ ATX 400W/PFC/+12Vx2/SATAx2/PCIE RoHS 12cm Bulk,98,Seasonic,SS-400ET BRONZE,400 W,80+ Bronze,https://amazon.com/dp/B004GWZRRO?tag=pcbuilder00-20
"Razer Katana Power Supply aRGB PSU: Silent, Powerful aRGB 140mm PWM Fan - Chroma aRGB - Modular by Design - 80 Plus Platinum Rated - Zero RPM Mode - 850W",349.99,Razer,RC21-01840200-R3UT,850 W,80+ Platinum,https://amazon.com/dp/B0B6Y8Y1RL?tag=pcbuilder00-20
Fractal Design Newton R3 800-Watt 80 Plus Platinum Certified Modular ATX12V/EPS12V 800 Power Supply,/A,Fractal Design,Newton R3,800 W,80+ Platinum,https://amazon.com/dp/B009LHF5EY?tag=pcbuilder00-20
Thermaltake Smart Led Fan 8CM/Blue,88.45,Thermaltake,A2016,750 W,80+ Bronze,https://amazon.com/dp/B0002F8ZHI?tag=pcbuilder00-20
"Silverstone Nightjar NJ700 ATX 80 Plus Titanium 700W Fan-Less Power Supply, SST-NJ700",310.55,SilverStone Technology,SST-NJ700,700 W,80+ Titanium,https://amazon.com/dp/B096N6Y7HP?tag=pcbuilder00-20
