Title,Price,Brand,Model,chipset,Form factor,Socket type,Memory slots,max_memory_support,Link
ASUS TUF Z390M-Pro Gaming (Wi-Fi) Motherboard LGA1151 DDR4 DP HDMI M.2 Z390 Micro ATX USB 3.1 Gen2 (mATX),450,ASUS,TUF Z390M-Pro Gaming (Wi-Fi),Intel Z390,Micro ATX,LGA 1151,,,https://amazon.com/dp/B07HM3M1SP?tag=pcbuilder00-20
ASUS Socket 1151 DDR4 M.2 U.2 ATX Motherboard for 9th Generation Intel Core Motherboards WS Z390 PRO,/A,ASUS,WS Z390 PRO,Intel Z390,ATX,LGA 1151,,,https://amazon.com/dp/B07JVG2GF6?tag=pcbuilder00-20
Asus ROG Maximus XI Gene Z390 Gaming Motherboard LGA1151 mATX DDR4 HDMI M.2 USB 3.1 Gen2 Onboard 802.11AC WiFi,550,ASUS,90MB10E0-M0EAY0,Intel Z390,Micro ATX,LGA 1151,,,https://amazon.com/dp/B07J66ZXH1?tag=pcbuilder00-20
ASRock Intel 8th & 9th Generation CPU (Soket 1151) Z390 Chipset ATX Motherboard Z390 Steel Legend,/A,ASRock,90-MXBAL0-A0UAYZ,Intel Z390,ATX,LGA 1151,,,https://amazon.com/dp/B07QNVCJG3?tag=pcbuilder00-20
ASRock Z390 Phantom Gaming SLI/ac LGA 1151 (300 Series) Intel Z390 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,498.86 (Used),ASRock,Z390 PHANTOM GAMING SLI/AC,Intel Z390,ATX,LGA 1151,,,https://amazon.com/dp/B07K3M1XK6?tag=pcbuilder00-20
NZXT N7 Z390 - N7-Z39XT-B1 - ATX Gaming Motherboard - Integrated I/O Shield - Intel Wireless-AC 9560 - Bluetooth V5 - Two M.2 Connectors,/A,NZXT,N7 Z390,Intel Z390,ATX,LGA 1151,,,https://amazon.com/dp/B07ZGFPLK3?tag=pcbuilder00-20
NZXT N7 Z390 - Intel Z390 chipset (Supports 8th/9th Gen CPUs) - ATX Gaming Motherboard - Integrated I/O Shield - Intel Wireless-AC 9560 - Bluetooth V5 - Two M.2 Connectors,/A,NZXT,N7-Z39XT-W1,Intel Z390,ATX,LGA 1151,,,https://amazon.com/dp/B07ZGG6WZ4?tag=pcbuilder00-20
Supermicro MBD-C9Z390-PGW-O Motherboard LGA 1151 Intel Z390 DDR4 SATA 6GB/s M.2 U.2 DisplayPort HDMI 10G LAN Wi-Fi USB 3.1 RGB ATX,/A,Supermicro,MBD-C9Z390-PGW-O,Intel Z390,ATX,LGA 1151,,,https://amazon.com/dp/B07JHTQCLK?tag=pcbuilder00-20
Supermicro MBD-C9Z390-CG-IW-O Motherboard DisplayPort HDMI 1G LAN Wi-Fi USB 3.1 RGB Mini-ITX,595,Supermicro,MBD-C9Z390-CG-IW-O,Intel Z390,Mini ITX,LGA 1151,,,https://amazon.com/dp/B07JGMDBS8?tag=pcbuilder00-20
ASUS PRIME Z370-A LGA1151 DDR4 DP HDMI DVI M.2 USB 3.1 Z370 ATX Motherboard with USB 3.1 for 8th Generation Intel Core Processors,150 (Used),ASUS,Prime Z370-A,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B075RJHN2D?tag=pcbuilder00-20
"ASUS ROG Maximus X Hero LGA1151 DDR4 DP HDMI M.2 Z370 ATX Gaming Motherboard (onboard 802.11ac WiFi, Gigabit LAN and USB 3.1)",398.98,ASUS,ROG MAXIMUS X HERO (WI-FI AC),Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B075RJ944T?tag=pcbuilder00-20
GIGABYTE Z370P D3 (RGB Fusion/Smart Fan 5/ USB 3.1/ ALC887/ HDMI/Anti-Sulfur Resistors/Motherboard),"1,722.90",Gigabyte,Z370P D3,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B077Y5JBQ5?tag=pcbuilder00-20
ASRock Motherboard Motherboards Z370 EXTREME4,195.90 (Used),ASRock,Z370 EXTREME4,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B0763BS899?tag=pcbuilder00-20
GIGABYTE H370 HD3 (LGA1151/Intel/USB 3.1 Gen 2 (USB3.1) Type A/HDMI/M.2/ATX/DDR4/Motherboard),/A,Gigabyte,H370 HD3,Intel H370,ATX,LGA 1151,,,https://amazon.com/dp/B07CCWBV37?tag=pcbuilder00-20
