Title,Price,Brand,Model,Capacity:,Type:,RPM,Interface,Cache Memory,Form Factor,Link
"Silicon Power 1TB SATA III 6Gb/s, 3D NAND 2.5"" Internal Solid State Drive",48.99,SP Silicon Power,A55,1 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07B4G19X3?tag=pcbuilder00-20
Intel SSD 660P Series 512GB PCIe Gen3 x4 M.2-2280 Internal Solid State Drive,39.99,Intel,660P,512 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07GBKQ9ST?tag=pcbuilder00-20
"Western Digital WD Black 2TB High Performance 3.5"" Internal Hard Drive with 7200 RPM & 64 MB Cache",74.80,Western Digital,Black,2 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B00FJRS628?tag=pcbuilder00-20
Inland Premium 512GB PCIe NVMe 3.0 x4 M.2-2280 Internal Solid State Drive,62.99,INLAND,Premium,512 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07PB5C36M?tag=pcbuilder00-20
"Seagate Exos Enterprise 16TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 256MB Cache",279.99,Seagate,EXOS Enterprise,16 TB,HDD,7200 RPM,SATA III 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07SPFPKF4?tag=pcbuilder00-20
TEAMGROUP MP33 256GB NVMe PCIe M.2-2280 Solid State Drive,19.99,TEAMGROUP,MP33,256 GB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07XHMB5GP?tag=pcbuilder00-20
Gigabyte AORUS 1TB NVMe PCIe Gen4 M.2-2280 High Performance Solid State Drive,99.99,Gigabyte,AORUS,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07TJWZGL9?tag=pcbuilder00-20
Sabrent Rocket Q 2TB NVMe PCIe M.2-2280 High Performance Internal Solid State Drive,/A,Sabrent,Rocket Q,2 TB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B0829DZH2W?tag=pcbuilder00-20
"Kingston A400, 960GB SATA III 6Gb/s, 2.5"" Internal Solid State Drive",62.99,Kingston,A400,960 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B079XC5PVV?tag=pcbuilder00-20
"Western Digital WD Green 1TB SATA III 6Gb/s, 2.5"" Internal Solid State Drive",105.99,Western Digital,Green,1 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07NNRTTCM?tag=pcbuilder00-20
"SanDisk SSD Plus 1TB SATA III 6 Gb/s, 2.5"" Internal Solid State Drive",54.99,SanDisk,PLUS,1 TB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B07D998212?tag=pcbuilder00-20
"Samsung 970 PRO, 512GB PCIe NVMe M.2-2280 Interface Internal Solid State Drive with V-NAND Technology",219.99,Samsung,970 Pro,512 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07C8Y31G2?tag=pcbuilder00-20
"Crucial BX500 2TB 3D NAND SATA III 6 Gb/s 2.5"" Internal Solid State Drive",143.99,Crucial,BX500,2 TB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B07YD5F561?tag=pcbuilder00-20
